TIME,SEGMENTID,BUS COUNT                ,MESSAGE COUNT,SPEED
01/29/2013 11:50:32 PM,705,1.0,8.0,29
12/08/2014 11:50:32 PM,119,1.0,6.0,13
01/26/2013 11:50:32 PM,1185,2.0,23.0,27
11/25/2014 11:50:32 PM,1055,1.0,3.0,23
12/23/2014 11:50:32 PM,430,4.0,16.0,23
01/30/2013 11:50:32 PM,92,2.0,22.0,16
12/08/2014 11:50:32 PM,1178,1.0,5.0,16
12/13/2014 11:50:32 PM,12,0.0,0.0,-1
12/04/2014 11:50:32 PM,1199,1.0,6.0,27
02/27/2013 11:50:32 PM,851,1.0,5.0,14
11/30/2014 11:50:32 PM,780,0.0,0.0,-1
02/12/2013 11:50:32 PM,328,0.0,0.0,-1
12/29/2014 11:50:32 PM,65,1.0,7.0,27
12/10/2014 11:50:32 PM,1049,0.0,0.0,-1
11/25/2014 11:50:32 PM,457,0.0,0.0,-1
01/24/2013 11:50:32 PM,553,0.0,0.0,-1
12/20/2014 11:50:32 PM,278,1.0,15.0,20
02/26/2013 11:50:32 PM,612,1.0,1.0,47
01/23/2013 11:50:32 PM,792,0.0,0.0,-1
12/25/2014 11:50:32 PM,176,0.0,0.0,-1
11/29/2014 11:50:32 PM,395,1.0,7.0,21
01/21/2013 11:50:32 PM,294,0.0,0.0,-1
01/24/2013 11:50:32 PM,300,0.0,0.0,-1
01/15/2013 11:50:32 PM,387,0.0,0.0,-1
12/20/2014 11:50:32 PM,421,0.0,0.0,-1
12/06/2014 11:50:32 PM,161,2.0,10.0,18
12/05/2014 11:50:32 PM,710,2.0,13.0,18
12/06/2014 11:50:32 PM,244,5.0,31.0,20
02/24/2013 11:50:32 PM,566,2.0,5.0,30
02/27/2013 11:50:32 PM,712,2.0,12.0,26
12/07/2014 11:50:32 PM,974,0.0,0.0,-1
